"","x"
"1","ADAM28"
"2","AGAP1"
"3","AIF1L"
"4","ALDH3B1"
"5","ALOX5"
"6","AMOT"
"7","APLP2"
"8","AQP5"
"9","ARHGAP39"
"10","ARRDC3"
"11","ASB8"
"12","BCL9L"
"13","BTC"
"14","CARNS1"
"15","CCDC154"
"16","CDH6"
"17","CDIPT"
"18","CGN"
"19","CLDN3"
"20","CLIC5"
"21","CMTM7"
"22","COBL"
"23","CYHR1"
"24","DYNLRB1"
"25","EPS8L1"
"26","FAM134A"
"27","FAM13B"
"28","FBXL2"
"29","FGF9"
"30","FRMD5"
"31","FUCA1"
"32","GAB2"
"33","GULP1"
"34","HBP1"
"35","HDAC7"
"36","ID2"
"37","KRT8"
"38","LTBP3"
"39","MACF1"
"40","MAP2"
"41","MED29"
"42","MSLN"
"43","NFATC2"
"44","OSCP1"
"45","PCDH1"
"46","PDE9A"
"47","PLEKHA7"
"48","PLEKHB1"
"49","PTTG1IP"
"50","RAB11FIP1"
"51","RAB17"
"52","RASA1"
"53","REEP5"
"54","RHOU"
"55","SFTA2"
"56","SGMS2"
"57","SHC2"
"58","SHROOM3"
"59","SLC24A1"
"60","SLC40A1"
"61","SUMF1"
"62","SYT13"
"63","TCTA"
"64","TGFBR2"
"65","TIMP2"
"66","TMEM139"
"67","TMEM59"
"68","TRAK2"
"69","WFS1"
"70","YIPF3"
"71","YPEL3"
"72","ZFHX3"
