"","x"
"1","ABHD11"
"2","ABHD12"
"3","ABO"
"4","ABP1"
"5","ADAM28"
"6","AFF4"
"7","AGAP1"
"8","AIF1L"
"9","ALDH3B1"
"10","AMOT"
"11","AP1S3"
"12","APLP2"
"13","AQP5"
"14","ARHGAP29"
"15","ARHGAP39"
"16","ARHGEF17"
"17","ARRB1"
"18","ARRDC3"
"19","ARSD"
"20","ASAP2"
"21","ATF2"
"22","ATL1"
"23","ATP11A"
"24","ATP9A"
"25","B3GNT3"
"26","B3GNT7"
"27","BAIAP3"
"28","BANK1"
"29","BAZ2B"
"30","BHLHE41"
"31","BMPR2"
"32","BPTF"
"33","BRPF3"
"34","BTC"
"35","C10orf95"
"36","C1orf192"
"37","C2orf70"
"38","C5orf45"
"39","C8orf46"
"40","CADM1"
"41","CAPS"
"42","CARNS1"
"43","CASC1"
"44","CCDC120"
"45","CCDC148"
"46","CCDC149"
"47","CCDC159"
"48","CCDC40"
"49","CCDC42B"
"50","CCDC6"
"51","CCDC64B"
"52","CCNG2"
"53","CD151"
"54","CDC42SE2"
"55","CDH6"
"56","CDK14"
"57","CDS1"
"58","CGN"
"59","CGNL1"
"60","CHDH"
"61","CHKA"
"62","CITED2"
"63","CLCN3"
"64","CLCN4"
"65","CLDN3"
"66","CLDN4"
"67","CLIC5"
"68","CNNM3"
"69","COBL"
"70","COMMD7"
"71","CPAMD8"
"72","CPEB4"
"73","CRTAC1"
"74","CYB561"
"75","DNAJB14"
"76","DNAJC4"
"77","DNALI1"
"78","DOK5"
"79","DOK7"
"80","DTX4"
"81","DYRK1B"
"82","EDA"
"83","ELOVL7"
"84","ENPP4"
"85","ENPP5"
"86","EPCAM"
"87","EPHA10"
"88","EPS8"
"89","EPS8L1"
"90","ERP27"
"91","ESAM"
"92","ESYT2"
"93","F8"
"94","FAM134A"
"95","FAM13B"
"96","FAM168A"
"97","FAM174B"
"98","FAM63A"
"99","FAM81B"
"100","FBXL2"
"101","FCHO2"
"102","FGF9"
"103","FNIP2"
"104","FOLR1"
"105","FOXJ1"
"106","FOXP4"
"107","FREM2"
"108","FRMD5"
"109","FUCA1"
"110","GAB2"
"111","GALNT9"
"112","GJB1"
"113","GLB1L"
"114","GLB1L2"
"115","GNPTG"
"116","GNS"
"117","GPRASP2"
"118","GPRC5A"
"119","GUCY1A3"
"120","GULP1"
"121","HBP1"
"122","HDAC7"
"123","HSPG2"
"124","ICA1"
"125","ID2"
"126","IDS"
"127","INPPL1"
"128","INSR"
"129","IQCD"
"130","IQGAP2"
"131","ITSN2"
"132","JMJD8"
"133","KBTBD4"
"134","KCNB1"
"135","KCNK5"
"136","KCNQ1"
"137","KCTD10"
"138","KCTD18"
"139","KIAA0319L"
"140","KIAA0355"
"141","KIDINS220"
"142","KL"
"143","KLHDC7A"
"144","KRT7"
"145","KRT8"
"146","KRTCAP3"
"147","KSR2"
"148","LIPH"
"149","LMO2"
"150","LRPAP1"
"151","LRTOMT"
"152","LTBP3"
"153","LXN"
"154","MACC1"
"155","MACF1"
"156","MAMDC2"
"157","MAML2"
"158","MAOB"
"159","MAP2"
"160","MAP4K3"
"161","MECP2"
"162","MED29"
"163","MFSD6"
"164","MMEL1"
"165","MMP24"
"166","MPZL3"
"167","MS4A8B"
"168","MSLN"
"169","MUC1"
"170","MXD4"
"171","NCOA1"
"172","NDFIP1"
"173","NEK11"
"174","NFATC2"
"175","NR2C2"
"176","NR3C2"
"177","NSUN7"
"178","NUDT16L1"
"179","NWD1"
"180","NXNL2"
"181","OSBPL10"
"182","OSCP1"
"183","OVOL2"
"184","P4HTM"
"185","PARD3B"
"186","PARD6B"
"187","PCDH1"
"188","PCSK1N"
"189","PCYOX1"
"190","PDE9A"
"191","PDGFC"
"192","PDGFD"
