"","x"
"1","ADAM28"
"2","AGAP1"
"3","ALDH3B1"
"4","ALOX5"
"5","AMOT"
"6","AQP5"
"7","ARHGEF17"
"8","ARSD"
"9","ATP9A"
"10","BANK1"
"11","BAZ2B"
"12","BHLHE41"
"13","BMP4"
"14","BTC"
"15","C15orf52"
"16","C1orf192"
"17","C2orf70"
"18","CARNS1"
"19","CASC1"
"20","CCDC148"
"21","CCDC149"
"22","CCDC40"
"23","CGN"
"24","CLDN3"
"25","CLIC5"
"26","CPAMD8"
"27","CRTAC1"
"28","CUEDC1"
"29","DNALI1"
"30","DOK7"
"31","DTX4"
"32","ENPP5"
"33","EPB41L1"
"34","EPCAM"
"35","EPHA10"
"36","ERP27"
"37","FAM150A"
"38","FAM174B"
"39","FAM63A"
"40","FAM81B"
"41","FGF9"
"42","FOLR1"
"43","GABBR2"
"44","GLB1L2"
"45","GLT25D2"
"46","GOLPH3L"
"47","GPR12"
"48","GULP1"
"49","INPPL1"
"50","IQCD"
"51","KCNK5"
"52","KCNQ1"
"53","KIAA0319L"
"54","KLHL30"
"55","KRT7"
"56","KSR2"
"57","LTBP3"
"58","LXN"
"59","MAPK3"
"60","MMEL1"
"61","MUC1"
"62","MYADM"
"63","NEK11"
"64","NOG"
"65","NOS3"
"66","NRK"
"67","NSUN7"
"68","NWD1"
"69","NXNL2"
"70","P4HTM"
"71","PARD6B"
"72","PCSK1N"
"73","PLEKHA7"
"74","PLEKHB1"
"75","PRICKLE4"
"76","PROM1"
"77","PRR15"
"78","PRR15L"
"79","PTTG1IP"
"80","RAI2"
"81","RBM47"
"82","RBMS2"
"83","RGS7"
"84","RHOBTB2"
"85","SCGB2A1"
"86","SCNN1A"
"87","SDC3"
"88","SFTA2"
"89","SH3RF1"
"90","SHROOM3"
"91","SLC9A8"
"92","SMAD6"
"93","SMPDL3B"
"94","STK32A"
"95","SUSD2"
"96","SVIP"
"97","SYT13"
"98","TMC4"
"99","TMEM125"
"100","TMEM132E"
"101","TMEM50B"
"102","TNNC1"
"103","VSTM2L"
"104","VWA1"
"105","WFDC2"
"106","WFS1"
"107","ZFHX3"
"108","ZNF701"
"109","ZNF860"
